Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2019-11-13;961,40;961,80;957,80;963,40;949,00;959,80;959,251;354415;339969443,5;5319;
2019-11-12;954,60;955,20;953,00;957,00;947,60;957,00;953,676;246350;234925189,7;3930;
2019-11-11;954,40;955,40;957,00;961,80;952,80;952,80;95:5,959;213646;204238209,5;3492;
2019-11-08;956,20;956,80;948,80;958,80;946,80;956,00;954,287;262467;250251469,2;4174;
2019-11-07;946,60;947,60;952,40;955,00;943,40;947,00;947,722;314800;298345133,7;4877;
2019-11-06;949,00;949,40;947,60;952,80;938,00;949,00;946,366;290772;275176803,8;4921;
2019-11-05;947,20;947,80;946,60;951,60;932,80;950,80;947,535;357197;338448286,3;6211;
2019-11-04;938,20;938,80;954,80;955,00;938,20;941,80;943,686;342656;323356747,1;5437;
2019-11-01;950,60;951,20;947,80;956,40;942,60;956,20;953,815;245943;234542538,76;2436;
2019-10-31;943,20;943,60;968,40;980,00;942,40;942,40;951,287;450067;428194198,4;7762;
2019-10-30;962,80;963,40;955,00;966,00;950,20;966,00;960,22;252639;242551148,8;3710;
2019-10-29;951,20;951,80;961,20;964,60;945,20;952,60;951,887;301576;287065613;4627;
2019-10-28;967,60;968,20;957,00;993,20;949,40;964,40;967,995;406660;393658743,6;6917;
2019-10-25;956,60;957,40;953,00;969,20;944,80;957,80;960,444;318045;305815540,21;5175;
2019-10-24;974,20;974,40;970,80;979,60;964,60;972,80;973,138;217554;211709539,5;3730;
2019-10-23;969,60;970,40;986,40;988,00;967,80;970,20;972,364;284367;276510591;5171;
2019-10-22;985,00;985,60;981,20;987,80;972,40;986,00;982,618;275144;270014150;3937;
2019-10-21;981,20;981,80;986,80;991,00;974,40;983,80;981,697;227622;223505722,1;3885;
2019-10-18;986,60;987,00;996,60;998,20;985,60;985,60;989,098;218470;216259453,34;3542;
2019-10-17;995,80;996,40;990,00;1000,50;988,80;998,00;996,573;176382;175778619,6;3879;
2019-10-16;991,80;992,00;998,00;1005,50;991,40;993,00;996,189;208670;207883722,1;3461;
2019-10-15;997,40;998,00;1001,50;1006,50;993,20;996,00;997,008;169282;168774074;3098;
2019-10-14;1000,00;1001,00;999,00;1005,50;994,20;1001,50;1001,61;144234;144465210,65;2369;
2019-10-11;997,60;998,00;1001,00;1004,00;992,20;999,00;998,336;231385;231187388,45;3920;
2019-10-10;999,80;1000,50;1013,00;1013,00;994,00;999,00;1000,067;301391;301359015,1;3711;
2019-10-09;1010,00;1011,00;1013,00;1014,00;1000,50;1009,00;1008,379;155487;156785187,5;2655;
2019-10-08;1009,50;1010,50;1016,00;1021,50;1007,50;1011,00;1013,739;142477;144441288,25;2450;
2019-10-07;1010,50;1011,50;1004,00;1013,00;999,80;1013,00;1010,575;107902;109035075,25;1860;
2019-10-04;1004,00;1004,50;992,60;1012,50;992,40;1004,00;1004,459;196958;197631844,75;2786;
2019-10-03;988,20;989,00;983,00;992,80;982,60;990,20;988,899;163261;161448745,8;3025;
2019-10-02;984,20;984,80;1006,00;1006,50;984,40;986,60;991,602;212807;211041114,45;3658;
2019-10-01;1004,00;1004,50;1013,00;1019,00;999,40;1005,00;1006,739;168818;169970655,05;2956;
2019-09-30;1011,50;1012,00;1018,00;1020,00;1005,50;1012,50;1012,126;172038;174122194;2245;
2019-09-27;1016,50;1017,50;1014,50;1020,50;1008,50;1017,00;1016,204;215193;218312726,8;3388;
2019-09-26;1013,50;1015,00;999,20;1015,00;996,20;1015,00;1011,602;155488;157289180,15;2160;
2019-09-25;995,80;996,60;1000,00;1009,00;993,60;997,40;998,932;321355;322219304,05;3931;
2019-09-24;996,40;996,60;997,20;998,80;987,40;998,80;994,584;207833;206697265,9;3813;
2019-09-23;995,20;995,80;991,20;1001,50;991,20;992,60;995,037;151963;151214559,7;2604;
2019-09-20;992,00;992,40;989,00;995,80;987,20;991,00;991,351;316318;313471398,29;3468;
2019-09-19;990,00;990,60;990,20;991,60;979,60;989,00;987,77;160653;158686253,2;3100;
2019-09-18;988,20;988,80;990,40;994,80;982,80;989,80;989,878;330986;327637707,1;4106;
2019-09-17;989,20;989,60;979,20;995,00;977,60;992,40;990,839;228000;225903795;3492;
2019-09-16;979,40;979,80;985,20;986,80;977,40;980,00;980,972;338656;332221004,9;4822;
2019-09-13;988,20;988,60;988,00;992,00;983,00;988,00;987,60;311072;307587628,84;4921;
2019-09-12;989,40;990,00;996,60;1003,00;979,00;989,80;989,913;272564;269822244,4;5018;
2019-09-11;996,40;997,20;992,20;1000,50;986,60;995,40;994,151;250579;249101072,1;4120;
2019-09-10;992,80;993,20;1015,50;1015,50;979,80;994,00;994,746;453382;451257066,95;6493;
2019-09-09;1009,50;1010,00;1025,00;1027,00;1009,50;1015,50;1017,499;314351;319852572;3889;
2019-09-06;1023,00;1024,00;1020,00;1033,00;1015,50;1025,50;1024,871;227570;233090372,98;3715;
2019-09-05;1020,50;1021,50;1026,00;1029,00;1017,00;1019,00;1021,866;212879;217554636,75;3363;
2019-09-04;1024,00;1024,50;1020,00;1030,00;1019,00;1024,00;1025,166;224446;230102673,5;3155;
2019-09-03;1018,00;1018,50;1012,50;1021,00;1006,00;1019,50;1017,102;138256;140617206,25;2172;
2019-09-02;1013,50;1014,50;1003,00;1016,50;999,80;1011,00;1009,845;137642;138999475,4;1865;
2019-08-30;998,00;998,60;995,80;1004,00;990,20;1001,50;1000,293;285882;285850346,76;3409;
2019-08-29;993,60;994,20;995,80;1007,50;991,80;996,40;996,991;258685;257910172,75;4396;
2019-08-28;991,00;991,40;986,40;995,60;982,20;990,80;990,102;280753;277970285,3;4719;
2019-08-27;988,80;989,40;990,00;991,00;983,20;985,00;986,044;284832;280858443,2;3611;
2019-08-26;994,40;995,20;992,20;999,20;989,20;992,40;994,269;95269;94722550,6;1770;
2019-08-23;1004,00;1005,00;1003,50;1010,00;997,60;1000,50;1002,398;218038;218284061,36;3269;
2019-08-22;1003,50;1004,50;1009,50;1013,50;999,60;999,60;1002,056;216650;217102985,9;3009;
2019-08-21;1010,50;1011,50;1001,50;1013,00;992,00;1011,50;1004,647;241091;242153718,85;3733;
2019-08-20;1000,00;1000,50;982,00;1007,00;980,00;999,20;997,20;327330;321929073,7;5573;
2019-08-19;981,00;981,20;1002,00;1007,50;978,80;982,00;985,811;293822;289653277,25;5262;
2019-08-16;1002,50;1003,50;996,20;1021,50;996,20;1002,00;1006,384;471934;475017211,1;6409;
2019-08-15;989,00;990,00;985,00;1006,00;971,80;990,20;990,938;554210;549167894,05;11237;
2019-08-14;953,80;954,00;973,80;975,60;950,00;950,00;958,127;328979;315225047,6;5070;
2019-08-13;970,20;971,00;975,80;980,80;966,40;973,60;972,606;280373;272692593,7;4630;
2019-08-12;973,20;974,00;989,40;989,40;970,80;973,40;975,281;234359;228567002,3;3958;
2019-08-09;976,60;977,00;984,20;985,40;971,80;976,00;977,469;347472;339646866,8;5730;
2019-08-08;973,60;974,20;880,00;984,40;880,00;975,20;953,745;1204763;1149568646,5;16608;
2019-08-07;875,80;876,20;872,20;877,20;869,20;876,40;875,012;319699;279733478,69;3667;
2019-08-06;872,80;873,40;876,40;877,80;870,20;870,80;872,73;290185;253270963,66;4022;
2019-08-05;873,60;874,20;907,80;909,40;873,00;873,00;881,787;461906;407352802,45;7862;
2019-08-02;914,00;914,80;919,00;927,00;912,40;913,80;916,123;292894;268337505,46;4850;
2019-08-01;921,60;922,40;918,80;928,40;915,00;923,00;922,271;275128;253730591,67;4457;
2019-07-31;918,00;918,60;914,00;921,60;907,20;921,60;917,802;261847;240280288,35;4125;
2019-07-30;909,20;909,60;907,80;911,80;904,60;911,80;909,493;285468;259620190,75;4131;
2019-07-29;906,60;907,00;920,00;920,40;902,00;907,00;908,232;278948;253364903,33;3691;
2019-07-26;928,60;928,80;917,40;930,00;917,40;927,40;926,975;231776;214845696,43;3242;
